Team,Rank,Wins,Losses,Ties,Points
Manchester City,100.000,28,3,7,91
Arsenal,93.447,28,5,5,89
Liverpool,75.403,24,4,10,82
Aston Villa,42.987,20,10,8,68
Tottenham,40.991,20,12,6,66
Chelsea,39.463,18,11,9,63
Manchester Utd,32.602,18,14,6,60
Newcastle Utd,30.943,18,14,6,60
West Ham,25.089,14,14,10,52
Crystal Palace,21.705,13,15,10,49
Brighton,21.555,12,14,12,48
Bournemouth,21.537,13,16,9,48
Everton,21.016,13,16,9,48
Fulham,19.519,13,17,8,47
Wolves,18.223,13,18,7,46
Brentford,15.825,10,19,9,39
Nott'ham Forest,12.649,9,20,9,36
Luton Town,8.496,6,24,8,26
Burnley,8.270,5,24,9,24
Sheffield Utd,5.348,3,28,7,16